geoname_id,locale_code,continent_code,continent_name,country_iso_code,country_name,is_in_european_union
49518,zh-CN,AF,非洲,RW,卢旺达,0
51537,zh-CN,AF,非洲,SO,索马里,0
69543,zh-CN,AS,亚洲,YE,也门,0
99237,zh-CN,AS,亚洲,IQ,伊拉克,0
102358,zh-CN,AS,亚洲,SA,沙特阿拉伯,0
130758,zh-CN,AS,亚洲,IR,伊朗,0
146669,zh-CN,EU,欧洲,CY,塞浦路斯,1
149590,zh-CN,AF,非洲,TZ,坦桑尼亚,0
163843,zh-CN,AS,亚洲,SY,叙利亚,0
174982,zh-CN,AS,亚洲,AM,亚美尼亚,0
192950,zh-CN,AF,非洲,KE,肯尼亚,0
203312,zh-CN,AF,非洲,CD,扎伊尔,0
223816,zh-CN,AF,非洲,DJ,吉布提,0
226074,zh-CN,AF,非洲,UG,乌干达,0
239880,zh-CN,AF,非洲,CF,中非,0
241170,zh-CN,AF,非洲,SC,塞舌尔,0
248816,zh-CN,AS,亚洲,JO,约旦,0
272103,zh-CN,AS,亚洲,LB,黎巴嫩,0
285570,zh-CN,AS,亚洲,KW,科威特,0
286963,zh-CN,AS,亚洲,OM,阿曼,0
289688,zh-CN,AS,亚洲,QA,卡塔尔,0
290291,zh-CN,AS,亚洲,BH,巴林,0
290557,zh-CN,AS,亚洲,AE,阿联酋,0
294640,zh-CN,AS,亚洲,IL,以色列,0
298795,zh-CN,AS,亚洲,TR,土耳其,0
337996,zh-CN,AF,非洲,ET,埃塞俄比亚,0
338010,zh-CN,AF,非洲,ER,厄立特里亚,0
357994,zh-CN,AF,非洲,EG,埃及,0
366755,zh-CN,AF,非洲,SD,苏丹,0
390903,zh-CN,EU,欧洲,GR,希腊,1
433561,zh-CN,AF,非洲,BI,布隆迪,0
453733,zh-CN,EU,欧洲,EE,爱沙尼亚,1
458258,zh-CN,EU,欧洲,LV,拉脱维亚,1
587116,zh-CN,AS,亚洲,AZ,阿塞拜疆,0
597427,zh-CN,EU,欧洲,LT,立陶宛,1
607072,zh-CN,EU,欧洲,SJ,斯瓦尔巴岛和扬马延岛,0
614540,zh-CN,AS,亚洲,GE,格鲁吉亚,0
617790,zh-CN,EU,欧洲,MD,摩尔多瓦,0
630336,zh-CN,EU,欧洲,BY,白俄罗斯,0
660013,zh-CN,EU,欧洲,FI,芬兰,1
661882,zh-CN,EU,欧洲,AX,奥兰群岛,1
690791,zh-CN,EU,欧洲,UA,乌克兰,0
718075,zh-CN,EU,欧洲,MK,前南马其顿,0
719819,zh-CN,EU,欧洲,HU,匈牙利,1
732800,zh-CN,EU,欧洲,BG,保加利亚,1
783754,zh-CN,EU,欧洲,AL,阿尔巴尼亚,0
798544,zh-CN,EU,欧洲,PL,波兰,1
798549,zh-CN,EU,欧洲,RO,罗马尼亚,1
831053,zh-CN,EU,欧洲,XK,科索沃,0
878675,zh-CN,AF,非洲,ZW,津巴布韦,0
895949,zh-CN,AF,非洲,ZM,赞比亚,0
921929,zh-CN,AF,非洲,KM,科摩罗,0
927384,zh-CN,AF,非洲,MW,马拉维,0
932692,zh-CN,AF,非洲,LS,莱索托,0
933860,zh-CN,AF,非洲,BW,博茨瓦纳,0
934292,zh-CN,AF,非洲,MU,毛里求斯,0
934841,zh-CN,AF,非洲,SZ,斯威士兰,0
935317,zh-CN,AF,非洲,RE,留尼汪,1
953987,zh-CN,AF,非洲,ZA,南非,0
1024031,zh-CN,AF,非洲,YT,马约特,1
1036973,zh-CN,AF,非洲,MZ,莫桑比克,0
1062947,zh-CN,AF,非洲,MG,马达加斯加,0
1149361,zh-CN,AS,亚洲,AF,阿富汗,0
1168579,zh-CN,AS,亚洲,PK,巴基斯坦,0
1210997,zh-CN,AS,亚洲,BD,孟加拉国,0
1218197,zh-CN,AS,亚洲,TM,土库曼斯坦,0
1220409,zh-CN,AS,亚洲,TJ,塔吉克斯坦,0
1227603,zh-CN,AS,亚洲,LK,斯里兰卡,0
1252634,zh-CN,AS,亚洲,BT,不丹,0
1269750,zh-CN,AS,亚洲,IN,印度,0
1282028,zh-CN,AS,亚洲,MV,马尔代夫,0
1282588,zh-CN,AS,亚洲,IO,英属印度洋领地,0
1282988,zh-CN,AS,亚洲,NP,尼泊尔,0
1327865,zh-CN,AS,亚洲,MM,缅甸,0
1512440,zh-CN,AS,亚洲,UZ,乌兹别克斯坦,0
1522867,zh-CN,AS,亚洲,KZ,哈萨克斯坦,0
1527747,zh-CN,AS,亚洲,KG,吉尔吉斯斯坦,0
1546748,zh-CN,AN,南极洲,TF,法属南部领地,0
1547314,zh-CN,AN,南极洲,HM,赫德岛和麦克唐纳岛,0
1547376,zh-CN,AS,亚洲,CC,科科斯（基林）群岛,0
1559582,zh-CN,OC,大洋洲,PW,帕劳,0
1562822,zh-CN,AS,亚洲,VN,越南,0
1605651,zh-CN,AS,亚洲,TH,泰国,0
1643084,zh-CN,AS,亚洲,ID,印度尼西亚,0
1655842,zh-CN,AS,亚洲,LA,老挝,0
1668284,zh-CN,AS,亚洲,TW,台湾,0
1694008,zh-CN,AS,亚洲,PH,菲律宾,0
1733045,zh-CN,AS,亚洲,MY,马来西亚,0
1814991,zh-CN,AS,亚洲,CN,中国,0
1819730,zh-CN,AS,亚洲,HK,香港,0
1820814,zh-CN,AS,亚洲,BN,文莱,0
1821275,zh-CN,AS,亚洲,MO,澳门,0
1831722,zh-CN,AS,亚洲,KH,柬埔寨,0
1835841,zh-CN,AS,亚洲,KR,韩国,0
1861060,zh-CN,AS,亚洲,JP,日本,0
1873107,zh-CN,AS,亚洲,KP,朝鲜,0
1880251,zh-CN,AS,亚洲,SG,新加坡,0
1899402,zh-CN,OC,大洋洲,CK,库克群岛,0
1966436,zh-CN,OC,大洋洲,TL,东帝汶,0
2017370,zh-CN,EU,欧洲,RU,俄罗斯联邦,0
2029969,zh-CN,AS,亚洲,MN,蒙古,0
2077456,zh-CN,OC,大洋洲,AU,澳大利亚,0
2078138,zh-CN,OC,大洋洲,CX,圣诞岛,0
2080185,zh-CN,OC,大洋洲,MH,马绍尔群岛,0
